Employee ID,Name,Position,Department,Manager ID,Score,Readiness,Critical Position,Gender,City,Marital Status,[Performance] Score,IQ,Capability,Commitment,Contribution,Photo URL,Referance ID,Successor For Employee ID
1,Dian Susanti,CEO,Executive,,98,,Yes,Perempuan,Jakarta,Belum Menikah,93,116,,,,https://lh3.googleusercontent.com/d/1shLBgT6fuyMjmChgNhEB2OzZPSB1VRoI=s220?authuser=0,,
2,Dimas Eka,Chief Product Officer,Product,1,96,85,No,Laki-laki,Semarang,Belum Menikah,87,124,,,,https://lh3.googleusercontent.com/d/1Bf-zMgdBC7GlhsBnhNAwC54hxXKxHtzR=s220?authuser=0,,
3,Firmansyah,Chief Technology Officer,Technology,1,95,78,No,Laki-laki,Makassar,Menikah,86,107,,,,https://lh3.googleusercontent.com/d/1744YkyaAWXXYYVE7nv34bjLQEmnWlua3=s220?authuser=0,,
4,Yolanda,Chief Marketing Officer,Marketing,1,94,72,No,Perempuan,Makassar,Menikah,91,115,,,,https://lh3.googleusercontent.com/d/1eisMahAq_ENqrVMTd1nfYWaMhSC5ES88=s220?authuser=0,,
5,Chelsea,Chief People Officer,People,1,93,90,Yes,Perempuan,Yogyakarta,Belum Menikah,91,122,,,,https://lh3.googleusercontent.com/d/1Htivkd6fJfbZGWWDlpDOdJhKpT4zyD2E=s220?authuser=0,,
6,Novaria,Product Manager Lead,Product,2,93,82,Yes,Perempuan,Jakarta,Menikah,91,123,,,,https://lh3.googleusercontent.com/d/10ydJhwyLfhOSB3kpMeZdMLuQfKRWoMtQ=s220?authuser=0,,
7,Angela,Product Designer Lead,Product,2,94,88,No,Perempuan,Solo,Menikah,84,117,,,,https://lh3.googleusercontent.com/d/1Ezd0yEMRw-50VgkvZp77775AxhWR_Ig0=s220?authuser=0,,
8,Kristo,Research Lead,Product,2,85,68,Yes,Laki-laki,Denpasar,Menikah,77,117,,,,https://lh3.googleusercontent.com/d/1DsFWfH-kBhKFFEYfj7qxooExD7pRvDSk=s220?authuser=0,,
9,Shani,Frontend Lead,Technology,3,97,75,No,Perempuan,Semarang,Belum Menikah,91,110,,,,https://lh3.googleusercontent.com/d/1r_x3Cc_rcv09X3hy_cB3ph7OsHlwEnNk=s220?authuser=0,,
10,Liliana,Backend Lead,Technology,3,78,82,No,Perempuan,Palembang,Menikah,71,127,,,,https://lh3.googleusercontent.com/d/1ILeq-NJkegRGFff1taaOhLy6xoCGHfPi=s220?authuser=0,,
11,Aurora,QA Lead,Technology,3,74,79,No,Perempuan,Yogyakarta,Menikah,66,125,,,,https://lh3.googleusercontent.com/d/1oR9W_HjcbT8mqR7gtBs68n7gjrcRfCND=s220?authuser=0,,
12,Vicky,Sales Lead,Marketing,4,72,68,No,Laki-laki,Palembang,Menikah,65,129,,,,https://lh3.googleusercontent.com/d/1bgcXLJ7H4yca_IsKpD7428NtTsbDj7NZ=s220?authuser=0,,
13,Renaldi,Digital Marketing Lead,Marketing,4,82,58,No,Laki-laki,Malang,Belum Menikah,79,106,,,,https://lh3.googleusercontent.com/d/1zaeMXeJjzmRb6ei5fIAB5hp8FPrnk2GO=s220?authuser=0,,
14,Shifa,Partnership Lead,Marketing,4,75,48,No,Perempuan,Bogor,Belum Menikah,68,128,,,,https://lh3.googleusercontent.com/d/1T1IxGrzF4C3aqi-4dI7Z9Kc81PI4kES4=s220?authuser=0,,
15,Diana,HR Operations Lead,People,5,96,80,Yes,Perempuan,Depok,Belum Menikah,94,114,,,,https://lh3.googleusercontent.com/d/1xC4uBqlr97hGcX2ykbhsLSofeaz1CMj5=s220?authuser=0,,
16,Nolan,Recruitment Lead,People,5,84,80,No,Laki-laki,Tangerang,Menikah,82,115,,,,https://lh3.googleusercontent.com/d/1BlnBI-opyp7dMqgKE8PWm05i8SN0tV94=s220?authuser=0,,
