Employee ID,Vismap ID,Name,Email,Department,Position,Level,Manager,Manager ID,Report To,Photo URL,Gender,City,Marital Status,Education,Critical Position,Years In Company,Years In Role,Last Promotion Date,Skills (comma separated),Certifications (comma separated),Personality (DISC),Leadership Type,Score,Readiness,IQ,Capability,Commitment,Contribution,Performance,[CAPABILITY] Analytical Thinking,[CAPABILITY] Collaboration,[CAPABILITY] Decision Making,[CAPABILITY] Developing Others,[CAPABILITY] Influencing,[CAPABILITY] Integrity,[CAPABILITY] Leadership,[CAPABILITY] Planning,[CAPABILITY] Relationship Building,[CAPABILITY] Strategic Thinking,[CAPABILITY] Competency Match,[Engagement] Score,[Performance] Score,[Potensi] Score
1,1,Fira Utomo,firuto@mail.com,Executive,CEO,,,,,https://u5zawtn8fc2eywx0.public.blob.vercel-storage.com/perempuan/perempuan_019.png,Perempuan,Jakarta,Belum Menikah,S2,Yes,,,,,,,,98,,116,,,,,,,,,,,,,,,,,,
2,2,Bintang Zulkarnain,binzul@mail.com,Product,Chief Product Officer,CEO,CEO,1,Fira Utomo (CEO),https://u5zawtn8fc2eywx0.public.blob.vercel-storage.com/laki/laki_005.png,Laki-laki,Semarang,Belum Menikah,S2,No,,,,,,,,96,,124,,,,,,,,,,,,,,,,,,
3,3,Ezra Rahayu,ezrrah@mail.com,Technology,Chief Technology Officer,CEO,CEO,1,Fira Utomo (CEO),https://u5zawtn8fc2eywx0.public.blob.vercel-storage.com/laki/laki_036.png,Laki-laki,Makassar,Menikah,S2,No,,,,,,,,95,,107,,,,,,,,,,,,,,,,,,
4,4,Pipit Habibi,piphab@mail.com,Marketing,Chief Marketing Officer,CEO,CEO,1,Fira Utomo (CEO),https://u5zawtn8fc2eywx0.public.blob.vercel-storage.com/perempuan/perempuan_010.png,Perempuan,Makassar,Menikah,S2,No,,,,,,,,94,,115,,,,,,,,,,,,,,,,,,
5,5,Kartika Rizky,karriz@mail.com,People,Chief People Officer,CEO,CEO,1,Fira Utomo (CEO),https://u5zawtn8fc2eywx0.public.blob.vercel-storage.com/perempuan/perempuan_014.png,Perempuan,Yogyakarta,Belum Menikah,S2,Yes,,,,,,,,93,,122,,,,,,,,,,,,,,,,,,
6,6,Syifa Fauzan,syifau@mail.com,Product,Product Manager Lead,Chief Product Officer,Chief Product Officer,2,Bintang Zulkarnain (Chief Product Officer),https://u5zawtn8fc2eywx0.public.blob.vercel-storage.com/perempuan/perempuan_006.png,Perempuan,Jakarta,Menikah,S1,Yes,,,,,,,,78,81,123,88,77,77,77,5,4,5,4,4,5,4,5,4,4,76,77,77,79
7,7,Bella Wicaksono,belwic@mail.com,Product,Product Designer Lead,Chief Product Officer,Chief Product Officer,2,Bintang Zulkarnain (Chief Product Officer),https://u5zawtn8fc2eywx0.public.blob.vercel-storage.com/perempuan/perempuan_031.png,Perempuan,Solo,Menikah,S2,No,,,,,,,,71,78,117,86,70,77,77,5,4,4,3,4,5,4,4,5,5,60,70,77,65
8,8,Ferry Gultom,fergul@mail.com,Product,Research Lead,Chief Product Officer,Chief Product Officer,2,Bintang Zulkarnain (Chief Product Officer),https://u5zawtn8fc2eywx0.public.blob.vercel-storage.com/laki/laki_011.png,Laki-laki,Denpasar,Menikah,S2,Yes,,,,,,,,82,77,117,72,62,97,97,5,4,4,2,3,4,4,4,3,3,62,62,97,87
9,9,Kartika Koswara,karkos@mail.com,Technology,Frontend Lead,Chief Technology Officer,Chief Technology Officer,3,Ezra Rahayu (Chief Technology Officer),https://u5zawtn8fc2eywx0.public.blob.vercel-storage.com/perempuan/perempuan_004.png,Perempuan,Semarang,Belum Menikah,S1,No,,,,,,,,81,76,110,72,84,71,71,4,4,3,4,3,5,4,3,2,4,66,84,71,87
10,10,Maudy Bangun,mauban@mail.com,Technology,Backend Lead,Chief Technology Officer,Chief Technology Officer,3,Ezra Rahayu (Chief Technology Officer),https://u5zawtn8fc2eywx0.public.blob.vercel-storage.com/perempuan/perempuan_017.png,Perempuan,Palembang,Menikah,S1,No,,,,,,,,63,77,127,82,74,75,75,5,5,5,3,4,5,3,4,2,5,61,74,75,40
